Unnamed: 0,job_title,company_name,location,post_date,job_description,salary,province,post_date_num,scrape_date,posted_at,posted_date_only,python_yn,sql_yn,mysql_yn,postgresql_yn,database_yn,aws_yn,azure_yn,spark_yn,hadoop_yn,kafka_yn,snowflake_yn,databricks_yn,apache_yn,git_yn,github_yn,tableau_yn,power bi_yn,looker_yn,experience_needed_yn,salary_preCleaned,min_salary,max_salary,avg_salary
62,Data Engineer,PT Digdaya Duta Digital,"Setiabudi, Jakarta",Posted 15d ago,"We are looking for a motivated Data Engineer to manage end-to-end data pipelines, automate workflows, and support our data strategy and transformation initiatives. This role is perfect for fresh graduates with a strong technical foundation and a passion for data.
Responsibilities :
Manage and automate end-to-end data pipelines and workflows
Build and maintain data strategy and transformation processes
Collaborate with cross-functional teams to ensure data quality and accessibility
Contribute to documentation, best practices, and knowledge sharing
 Requirements :
Fresh graduate (S1) in Computer Science, Data Science, Engineering, or a related field
Strong coaching and mentoring mindset, eager to learn
Strong foundation in programming, data handling, and data modelling concepts",Not Available,jakarta,15d,2026-03-18 01:00:00,2026-03-03 01:00:00,2026-03-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
68,STAF DATA ANALYST,PT Mulia Farma Suci,"South Tangerang, Banten",Posted 4d ago,"PT. DEMPO SENTOSA

PT. DEMPO SENTOSA adalah distributor tunggal dari principal PT. MULIA FARMA SUCI  dan PT. MUTIARA MUKTI FARMA , Perusahaan yang bergerak di bidang Farmasi, Memberikan layanan kesehatan bagi masyarakat dengan jaringan distribusi yang profesional berskala nasional.


STAF DATA ANALYST
Kami membuka kesempatan bagi kandidat yang teliti, analitis, dan siap berkembang bersama tim untuk posisi Staf Data Analyst.

Tugas dan Tanggung Jawab:
Mahir menggunakan Microsoft Excel (Rumus Excel, VLOOKUP, HLOOKUP, Pivot Table).
Memiliki kemampuan mengolah dan menganalisis data dari berbagai sumber secara detail dan akurat.
Membuat laporan penjualan mingguan & bulanan.
Memberikan rekomendasi berbasis data kepada tim marketing.
Menginput data dan memonitor program perusahaan.
Melakukan pencatatan serta pengelolaan data secara sistematis.
Proaktif, komunikatif, dan mampu bekerja sama dalam tim.
Memiliki keahlian tambahan menjadi nilai plus.
Kualifikasi :
Pendidikan minimal SMA/SMK sederajat / Diploma (Fresh Graduate dipersilakan melamar).
Teliti, jujur, disiplin, pekerja keras, ulet, dan bertanggung jawab.
Mampu bekerja secara mandiri maupun dalam tim.
Bersedia ditempatkan di cabang mana saja.
Memiliki motivasi tinggi dan kemampuan komunikasi yang baik.
Mampu mengelola waktu dengan efektif dan multitasking.
Memiliki komitmen tinggi untuk bekerja secara konsisten dan tepat waktu.

Waktu Bekerja :
Senin dan Jumat  : 08:00 s/d 16:00
Sabtu : 08.00 s/d 13.00",Rp 5.247.870 per month,banten,4d,2026-03-18 01:00:00,2026-03-14 01:00:00,2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247870,5247870.0,5247870.0,5247870.0
70,Marketing Data Analyst Supervisor / Assistant Manager,PT Tiga Berlian Mandiri,"Surabaya, East Java",Posted 1d ago,"Qualifications:
Pendidikan minimal S1 Statistik, Matematika, Teknik Industri, Manajemen, Sistem Informasi, atau jurusan terkait.
Memiliki pengalaman kerja minimal 4–6 tahun sebagai Data Analyst, Marketing Analyst, atau Supply Chain Analyst.
Memiliki pengalaman dalam analisis data penjualan dan supply chain, lebih disukai dari industri FMCG / distribusi / logistik.
Mahir menggunakan Microsoft Excel tingkat lanjut (Pivot Table, Power Query, data analysis).
Diutamakan memiliki kemampuan dalam SQL, Power BI, Tableau, atau tools data visualization lainnya.
Memiliki kemampuan analisis yang kuat, problem solving, dan berpikir strategis.
Mampu mengolah data dalam jumlah besar serta menyajikan insight yang mudah dipahami.
Memiliki kemampuan komunikasi yang baik dan mampu bekerja sama lintas departemen.
Memiliki pengalaman memimpin tim atau mengelola project analisis data menjadi nilai tambah.
Working Schedule:
Senin – Jumat: 07.30 – 16.00 WIB
Sabtu: 07.30 – 13.00 WIB
📍 Penempatan: Surabaya",Not Available,east java,1d,2026-03-18 01:00:00,2026-03-17 01:00:00,2026-03-17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,,,,
72,Business Analyst,PT Natura Aromatik Nusantara,"South Jakarta, Jakarta",Posted 10h ago,"We are looking for a dynamic Business Analyst to bridge the gap between raw data and execution strategy. Your primary role will be to provide strategic support through in-depth analysis of sales performance and marketing effectiveness to drive company growth.
Job Description
Market Trend Analysis: Identify market trends, consumer behavior, and competitor activities to provide tactical recommendations for the Sales team.
Marketing Performance Evaluation: Analyze the Return on Investment (ROI) of marketing campaigns across various channels (both digital and conventional).
Forecasting: Develop monthly and annual sales projections based on historical data and current market conditions.
Sales Funnel Optimization: Track conversion rates from leads to loyal customers to identify bottlenecks in the sales process.
Strategic Reporting: Develop interactive dashboards and regular reports for top-level management (C-Level) to support data-driven decision-making.
Cross-Department Collaboration: Work closely with the IT team to ensure data integrity within CRM and ERP systems.
Qualifications
Bachelor’s degree in Chemistry, Chemical Engineering, Chemical Analysis, Pharmacy, Food Technology, or related fields.
Fresh graduates or candidates with a maximum of 2 years of relevant experience.
Proficiency in Mandarin is preferred.
Proven achievements in scientific competitions are a plus.
Strong logical thinking skills with the ability to break down complex problems into practical solutions.
Ability to present complex data in a clear and understandable narrative for non-technical teams.
Technical Skills
Candidates must be proficient in the following application ecosystem to support work efficiency:
Data Visualization: Tableau, Power BI, or Google Looker Studio.
Advanced Spreadsheets: Microsoft Excel (VBA/Macros, Power Query) or Google Sheets.
CRM Tools: Salesforce, HubSpot, or SAP CRM.
Statistical Programming: SQL (mandatory), Python, or R (a plus).
Digital Analytics: Google Analytics 4 (GA4) and Facebook Ads Manager.
Soft Skills
Detail-Oriented: High level of accuracy in handling data to avoid information bias.
Proactive: Not only following instructions but also able to independently identify data anomalies.
Adaptability: Able to work in a fast-paced and dynamic environment (especially in the volatile sales industry).",Not Available,jakarta,10h,2026-03-18 01:00:00,2026-03-17 15:00:00,2026-03-17,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,,,,
74,Business Development Analyst,OLX Indonesia,"South Jakarta, Jakarta",Posted 20d ago,"Menganalisis kinerja trade-in, tren pasar, dan benchmark kompetitor untuk mengidentifikasi peluang ekspansi serta pertumbuhan pendapatan.
Mengidentifikasi, menyeleksi, dan menginisiasi kemitraan strategis dengan dealer baru sesuai dengan target pemetaan pasar.
Menyusun proposal bisnis dan laporan analisis komprehensif untuk mengusulkan program kemitraan yang selaras dengan tujuan perusahaan.
Mengelola program trade-in dan kolaborasi strategis dengan Toyota/Daihatsu New Car Sales guna meningkatkan volume penjualan.
Mengoordinasikan implementasi program dengan divisi internal (Sourcing, CLA, DPS, Finance) untuk memastikan kelancaran operasional.
Memimpin sosialisasi program serta memantau pelaksanaan joint-event bersama mitra dealer untuk mencapai target yang ditetapkan.
Melakukan tinjauan dan rekonsiliasi data pembayaran insentif serta referral fee secara akurat dan berkala.
Menjalankan evaluasi bulanan berbasis metode PDCA bersama mitra internal/eksternal untuk memastikan efektivitas kerja sama.
Mengelola dashboard kemitraan serta mengidentifikasi risiko bisnis untuk memberikan rekomendasi perbaikan jangka panjang.",Rp 7.000.000 – Rp 10.000.000 per month,jakarta,20d,2026-03-18 01:00:00,2026-02-26 01:00:00,2026-02-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000000 –  10000000,,,
75,Reporting & Data Analyst Staff,PT SOS Indonesia,Jakarta,Posted 21d ago,"• Menyusun dan menghasilkan laporan harian, mingguan, dan bulanan
• Mengumpulkan, mengompilasi, serta menganalisis data dari berbagai departemen
• Memastikan akurasi data dan dokumentasi tersimpan dengan baik
• Menyusun laporan manajemen dan materi presentasi menggunakan PowerPoint
• Mengolah data menjadi presentasi yang jelas, informatif, dan menarik secara visual
• Membantu monitoring performa dan KPI
• Berkoordinasi dengan tim internal untuk kebutuhan data dan informasi
• Memelihara serta memperbarui database dan sistem arsip
• Memberikan dukungan administrasi sesuai kebutuhan",Not Available,jakarta,21d,2026-03-18 01:00:00,2026-02-25 01:00:00,2026-02-25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
76,Business Analyst,PT Sinarmas LDA Maritime,"Central Jakarta, Jakarta",Posted 14h ago,"We’re seeking a Business Analyst with a strong background in Analytical and Business Plan.

Responsibilities:
Data-Driven Business Support: Conduct detailed analysis and interpretation of data to optimize business operations and support strategic decision-making.
Business Planning & Financial Modeling: Develop comprehensive business plans for new opportunities, including P&L statements, cash flow analysis, balance sheets, NPV assessments, and complex financial models to evaluate business viability.
Project Management & Coordination: Oversee multiple projects by setting timelines, creating project plans, and coordinating resources across internal teams and external partners to ensure successful execution.
Stakeholder Presentations: Prepare and deliver impactful presentations to senior management and clients, clearly communicating insights and strategic recommendations.
Network Expansion: Drive the expansion of the company’s network within Indonesia or abroad, building partnerships and strengthening the company's presence in the market.

Qualifications (Job Competencies)
Bachelor’s degree in Business, Finance, Economics, Engineering, or a related field from a reputable university (MBA or equivalent preferred).
3+ years of experience in business analysis, business development, or a similar role; experience with a Big 4 consulting firm preferred. Knowledge of the shipping, logistics, or mining sectors is advantageous.
Proven experience in analytical, strategic planning, market research, and financial modeling.
High attention to detail, with a proactive, solution-oriented approach.
Strong proficiency with analytical tools (e.g., Excel, Power Point, VBA, BO Appreciated).
Exceptional communication and presentation skills with the ability to influence stakeholders at all levels.
Proficiency in English (oral and written).",Not Available,jakarta,14h,2026-03-18 01:00:00,2026-03-17 11:00:00,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
78,Region Operations Planning & Analyst - ShopeeFood (Yogyakarta),Shopee Internasional Indonesia,"Yogyakarta, Yogyakarta Special Region",Posted 27d ago,"Job Description :
Generate business insights through data analysis, and provide recommendations to improve business performance accordingly
Work closely with Regional & Area leaders and in driving Area strategy planning by processing local insight and combine it with data analysis
Develop business plan and translate it to action items, collaborate with other vast stakeholders, determine success metrics, and provide the result takeaways
Go-to person for any new products/service launch
Able to make key business decisions or provide solid recommendation based on data/analytical thinking

Requirement :
Minimum Bachelor's degree 
Strong proficiency in Excel/data management skills
Strong in stakeholders management, problem-solving, logical and analytical thinking skills
Detailed-oriented and able to solve problems efficiently in a dynamic working environment.
Strong ability to analyze data and convert insights into strategic recommendations
Have a good eye for detail and are attentive and accurate when entering data
Self–starter, work independently with limited guidance, solution-oriented and team player
Critical thinkers can analyze situations from multiple perspectives",Not Available,Not Available,27d,2026-03-18 01:00:00,2026-02-19 01:00:00,2026-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
79,Inventory Analyst,PT Jabil Circuit Indonesia,"Bandung, West Java",Posted 1d ago,"Ownership for monitoring inventory levels, traceability, and identifying, classifying, and finding the root causes of inventory inaccuracies. Give feedback and possible solutions to manager for eliminating further discrepancies.

ESSENTIAL DUTIES AND RESPONSIBILITIES
Responsible for monitoring all material transactions for assigned area(s).
Responsible for identifying, resolving, and finding the root cause of discrepancies and other related inventory errors.
Recommend changes that will eliminate or greatly reduce future inaccuracies from reoccurring.
Be flexible enough to work overtime, assist in material handling functions, and fill in for other Inventory Control personnel as required and as specified by the Inventory Control Manager.
Responsible for eliminating any manufacturing downtime associated with assigned area (where applicable).
Perform regular component cycle counts as required.
Perform inventory transactions and reporting on customer systems when required.
Assist in the development and implementation of any materials management systems that will enhance inventory control at Jabil Circuit.
Be able to interface with all departmental supervisors, support functions, engineering, program management, and other pertinent functions within the plant operations.
Adhere to all safety and health rules and regulations associated with this position and as directed by supervisor.
JOB QUALIFICATIONS
KNOWLEDGE REQUIREMENTS      
   Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.
Ability to define problems, collect data, establish facts, and draw valid conclusions.
Ability to operate a personal computer including using a Windows based operating system and related software.
Advanced PC skills, including training and knowledge of Jabil’s software packages.
Ability to write simple correspondence. Read and understand visual aid.
Ability to apply common sense understanding to carry out simple one- or two-step instructions.
Ability to deal with standardized situations with only occasional or no variables.
Ability to read and comprehend simple instructions, short correspondence, and memos.
Ability to add, subtract, multiply, and divide in all units of measure, using whole numbers, common fractions, and decimals.
Ability to compute rate, ratio, and percent and to draw and interpret graphs.",Not Available,west java,1d,2026-03-18 01:00:00,2026-03-17 01:00:00,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
82,DIGITAL BUSINESS ANALYST,PT Ifabula Digital Kreasi,Jakarta,Posted 13d ago,"Candidate must possess at least a Bachelor's Degree, Computer Science/Information Technology, Engineering (Computer/Telecommunication), Science & Technology or equivalent.
Have financial industry knowledge: Banking, Insurance, Multifinance
Understand how to create business flow for digital product (mobile apps, ecommerce, and others digital products)
Love creating document, such as Functional Specification Document, Business Requirement Document, etc - and also structural and comprehensive
Pay attention to details
Good communication skill (communication to programmer and also customer - please be patient )
Good Analytical Skill
Customer based thinking
Experience working in Agile environments.
1-3 years experience",Rp 7.000.000 – Rp 8.000.000 per month,jakarta,13d,2026-03-18 01:00:00,2026-03-05 01:00:00,2026-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7000000 –  8000000,,,
83,Marketing Analyst,PT Dipo Star Finance,Jakarta,Posted 13d ago,"Responsibilities:
Clean and analyze data to identify marketing and sales trends.
Develop and maintain dashboards to visualize data analysis results.
Collaborate with other department/branch to understand business objectives and requirements.
Utilize the data analysis result to forecast sales trends and develop marketing strategy to achieve business objective.
Control and maintain the strategy implication including related daily task and operation.

Qualifications:
Bachelor's degree in actuary, mathematics, information system, or any related major.
Fresh graduates are encouraged to apply.
Proficient in using Microsoft Office especially Ms. Excel.
Having the ability to operate other data analytic tools will be a plus.
Able to use visualization data tools such as power BI, tableau, or any other similar tools.
Willing to be placed in Head Office: Senayan, Central Jakarta.",Rp 5.800.000 – Rp 7.000.000 per month,jakarta,13d,2026-03-18 01:00:00,2026-03-05 01:00:00,2026-03-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5800000 –  7000000,,,
84,Portfolio Revenue Analyst,IHG Hotels & Resorts,Jakarta,Posted 3d ago,"Introduction
If you enjoy turning numbers into insights that shape commercial decisions, this role puts your analysis at the centre of revenue performance. You’ll work closely with regional and hotel teams, providing data‑driven insights that directly influence pricing, demand and strategy. This is a great opportunity to grow your analytics expertise while supporting real‑world business outcomes across a diverse region.
Your Day to Day
Analyse historical and forward‑looking room data to support forecasting and revenue planning.
Produce clear reports and insights that guide commercial and pricing decisions.
Track booking trends, occupancy patterns and market performance to identify opportunities.
Support hotel and regional teams with data for revenue meetings and performance reviews.
Partner with commercial and digital teams to ensure data is accurate, timely and actionable.
What We Need From You
Bachelor’s degree in Statistics, Economics, Mathematics, or a related analytical field.
1–3 years’ experience in data analytics or revenue‑related roles, or strong analytical capability
Strong numerical and analytical skills with the ability to interpret complex data.
Clear communication and presentation skills, able to explain insights to non‑technical audiences.
Ability to manage deadlines, prioritise tasks and work with accuracy under pressure.",Not Available,jakarta,3d,2026-03-18 01:00:00,2026-03-15 01:00:00,2026-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,,
86,DATA ANALYST,PT Asuransi Jiwa Syariah Al Amin,Jakarta,Posted 13d ago,"KUALIFIKASI:
Pendidikan minimal S1 di bidang Ilmu Komputer, Teknik Informatika, Sistem Informasi, atau bidang terkait.
Pengalaman minimal 1-2 tahun di bidang pengelolaan database atau posisi terkait (fresh graduate dengan kemampuan relevan dipersilakan melamar)
Memahami konsep dasar sistem manajemen database relasional (RDBMS) dan non-relasional.
Menguasai MySQL: query, stored procedure, trigger, indexing, dan optimasi performa.
Menguasai PostgreSQL: DDL/DML, fungsi lanjutan, partisi tabel, dan manajemen user/role.
Mampu melakukan backup dan restore database
Mampu melakukan monitoring performa database menggunakan tools seperti MySQL Workbench, pgAdmin, atau monitoring tools lainnya.
Memahami dan mampu menerapkan prinsip keamanan database: enkripsi, kontrol akses, dan audit log.
Mampu bekerja secara mandiri maupun dalam tim lintas divisi.
Memiliki kemampuan analitis, ketelitian tinggi, dan orientasi terhadap kualitas data.
Mampu berkomunikasi secara efektif, termasuk dalam pembuatan laporan dan dokumentasi teknis.
DESKRIPSI PEKERJAAN:
•        Mengumpulkan, mengelola, dan memelihara data perusahaan serta memastikan kualitas data melalui validasi, pembersihan, dan pengaturan agar tetap konsisten.
•        Mengelola, memonitor, dan memelihara sistem database perusahaan serta melakukan backup, pemulihan, dan optimalisasi kinerja database secara berkala.
•        Melindungi data dari akses yang tidak sah dengan menerapkan prosedur keamanan dan kontrol akses.
•        Membuat dan memodifikasi struktur database sesuai kebutuhan perusahaan.
•        Menentukan hak akses pengguna berdasarkan peran dan tanggung jawab serta menangani permintaan akses data sesuai pedoman.
•        Memantau performa database dan memastikan ketersediaan data secara optimal.
•        Membuat laporan berkala tentang penggunaan data dan status database untuk manajemen, serta mendukung analisis data dengan menyediakan data yang relevan dan akurat.
•        Membuat dan memelihara dokumentasi konfigurasi, struktur, dan prosedur pengelolaan database serta mendokumentasikan semua perubahan.",Rp 6.000.000 – Rp 6.500.000 per month,jakarta,13d,2026-03-18 01:00:00,2026-03-05 01:00:00,2026-03-05,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6000000 –  6500000,,,
88,Marketing Data Analyst,PT Atlas Petrochem Indo,Jakarta,Posted 4d ago,"Marketing Data Analyst

Tanggung Jawab:

• Teliti, detail-oriented, dan mampu bekerja dengandeadline waktu yang ada
• Mengumpulkan, memproses, dan menganalisis data tentang angka penjualan, riset pasar, perilaku pelanggan, produk, dll.
• Memanfaatkan alat dan teknik analisis data untuk membuat laporan dan presentasi yang informatif, serta memberikan rekomendasi berdasarkan hasil analisis untuk mendukung pengambilan keputusan di dalam perusahaan
• Menyiapkan laporan harian, mingguan, dan bulanan
• Merancang otomatisasi atau dasbor untuk tujuan pemantauan dan pelaporan
• Memberikan wawasan yang berharga tentang operasi bisnis dari data yang dikumpulkan dan dianalisa
• Mengumpulkan, mengolah, dan memverifikasi data internal agar akurat dan up to date

Persyaratan :

• Min. Gelar Sarjana di segala jurusan (lebih disukai di bidang Sistem Informasi / Teknologi Informasi / Statistik / Matematika).
• Min. Pengalaman 2 tahun di posisi terkait (Consumer goods / Distribusi company lebih disukai).
• Keterampilan analitis dan pemecahan masalah yang kuat.
• Pengetahuan tentang alat visualisasi data seperti SAP, Tablue.
• Pemahaman tentang metode statistik dan algoritma pembelajaran mesin.
• Keterampilan komunikasi dan presentasi yang sangat baik.
• Ms Excel (minimal level intermediate) – mampu menggunakan formula dasar, pivot, vlookup, data processing, dan reporting",Not Available,jakarta,4d,2026-03-18 01:00:00,2026-03-14 01:00:00,2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
89,Data Analyst,PT. ALPEN FOOD INDUSTRY,"North Jakarta, Jakarta",Posted 6d ago,"Responsible for the collection, processing, and analysis of product-related data, including sales data, user data, and market feedback.
Develop product data analysis models to support product positioning, pricing strategies, and product optimization.
Monitor the product lifecycle and key KPIs (such as sales, margins, inventory turnover, etc.).
Prepare product analysis reports to support new product development and product improvement initiatives.
Collaborate with product, marketing, and sales teams to ensure effective use of data in product management and decision-making.

Job Requirement
Minimum Bachelor’s degree in Statistics, Data Analysis, Information Systems, or a related field.
3–5 years of experience in data analysis or product data analysis.
Proficient in data analysis tools and reporting systems.
Strong analytical skills and attention to detail.
Able to communicate analytical findings and translate them into product strategy recommendations.
Fluent in English (Mandarin proficiency will be an advantage).
Willing to be placed in Pantai Indah Kapuk.",Not Available,jakarta,6d,2026-03-18 01:00:00,2026-03-12 01:00:00,2026-03-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
91,Procurement Analyst,PT Graha Layar Prima,"South Jakarta, Jakarta",Posted 4d ago,"Requirement:
- Bachelor’s Degree in Economics or Management.
- Minimum 5 years of experience in Procurement or Purchasing
- Fluency in English is mandatory.
- Advanced proficiency in Data Analysis and Microsoft Excel.
- Exceptional negotiation skills and strong leadership capabilities.
- Proven experience in F&B, Retail, or Construction is highly preferred.

Responsibilities:
- Identify and select reliable suppliers to ensure cost-efficiency and quality.
- Develop and execute procurement strategies aligned with company needs.
- Lead negotiations to secure favorable terms, pricing, and service agreements.
- Ensure all procurement activities adhere to company policies and legal standards.
- Oversee stock and inventory levels to maintain operational continuity.
- Generate comprehensive purchase reports and conduct data analysis for spend management.",Not Available,jakarta,4d,2026-03-18 01:00:00,2026-03-14 01:00:00,2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
92,SAC Data Analyst,ParagonCorp,Jakarta,Posted 14h ago,"Deskripsi Pekerjaan Job Description
Design and develop interactive dashboards and reports using SAP Analytics Cloud
Develop calculated measures, restricted measures, and dynamic KPIs within SAC data models to support business analytics
Build advanced dashboards and analytical applications using JavaScript scripting where required
Collaborate closely with Finance stakeholders to understand analytical needs and translate business requirements into clear and effective data visualizations
Transform financial and operational data into actionable insights that support business decision-making
Continuously enhance and maintain dashboards based on stakeholder feedback and evolving business needs
Ensure data accuracy, consistency, and reliability across all dashboards, reports, and analytics outputs
Support data-driven decision making by delivering timely and high-quality analytical solutions
Job Requirements
Minimum 3 years of hands-on experience working with SAP Analytics Cloud (SAC)
Strong understanding of financial or operational business processes
Experience working within the SAP ecosystem, such as SAP BW or SAP S/4HANA, is preferred
Knowledge of JavaScript for advanced SAC dashboard customization
Strong analytical thinking and problem-solving skills, with high attention to detail
Ability to translate complex business requirements into clear analytical solutions and visualizations
Experience collaborating with cross-functional teams and business stakeholders.
Strong ownership mindset with a proactive approach to improving analytics solutions
Excellent communication and stakeholder management skills
Advanced financial analysis knowledge is a plus
SAC certification is considered an advantage",Not Available,jakarta,14h,2026-03-18 01:00:00,2026-03-17 11:00:00,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
93,Data Analyst Logistic,PT. Transkon Jaya Tbk,"Balikpapan, East Kalimantan",Posted 4d ago,"Tanggung Jawab Pekerjaan :
Mengumpulkan dan mengolah data operasional logistik seperti pengiriman, distribusi, transportasi, dan inventory.
Melakukan analisis data untuk mengidentifikasi tren, permasalahan operasional, serta peluang peningkatan efisiensi.
Menyusun laporan dan dashboard kinerja logistik secara berkala (harian, mingguan, bulanan).
Memantau Key Performance Indicator (KPI) operasional logistik seperti lead time pengiriman, utilisasi armada, dan tingkat ketepatan pengiriman.
Mengembangkan visualisasi data untuk memudahkan manajemen dalam memahami performa operasional.
Berkoordinasi dengan tim logistik, operasional, dan manajemen untuk memberikan rekomendasi berbasis data.
Memastikan akurasi dan integritas data operasional logistik yang digunakan dalam analisis.

Kualifikasi :
Pendidikan minimal S1 Statistik, Matematika, Teknik Industri, Sistem Informasi, Data Science, atau bidang terkait.
Memiliki pengalaman minimal 2 tahun sebagai Data Analyst, Logistic Analyst, atau Supply Chain Analyst.
Berpengalaman dalam analisis data operasional logistik, distribusi, atau transportasi menjadi nilai tambah.
Menguasai Microsoft Excel (Pivot Table, VLOOKUP/XLOOKUP, Data Analysis) dan Memahami pengolahan dan visualisasi data.
Memiliki kemampuan analisis data dan pembuatan laporan operasional logistik.
Memahami operasional logistik, transportasi, atau warehouse management.
Memiliki kemampuan problem solving berbasis data.
Diutamakan berdomisili balikpapan.
Penempatan balikpapan.",Not Available,bali,4d,2026-03-18 01:00:00,2026-03-14 01:00:00,2026-03-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
98,Business Analyst Staff,Indofood Group,"South Jakarta, Jakarta",Posted 8d ago,"Job Description : 
Compiling, updating and preparing standard sales and marketing reports and monitoring progress
Analyze sales data and give recommendation to the Regional Manager based on the data analysis
End-to-end supply chain monitoring
Communicate with supply chain department on the order received: PI Preparation, Order Scheduling, Order Realization, and Shipments
Support sales activities: purchase order, maintain & review payment, market visit and join local sales team, maintain relation with distributor
Maintain marketing activity: join exhibition, advertisement (ATL/BTL)
Requirements : 
Min S1, GPA min 3.00
Fresh graduates or 1-2 years experience as business analyst, sales analyst or data analyst
Advance in numbers and Ms.Excel
Strong ability in reading data, analizing the data and presenting the data
Excellent communication skill in English both oral and written. Please do not apply if your English ability is not as required above
Having ability in Mandarin conversation skill is a plus point
Passionate of working and developing career in the International Business
Willing to travel to the assigned countries:
- India (1)
- Papua New Guinea (1)
- Timor (1)
- Vietnam (1)
- Pacific Island (1)",Not Available,jakarta,8d,2026-03-18 01:00:00,2026-03-10 01:00:00,2026-03-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
99,Data Analyst Intern,PT Pabrik Cat & Tinta Pacific (Pacific Paint),"Tangerang, Banten",Posted 24d ago,"Job Description
Membantu pembuatan dan pemeliharaan dashboard interaktif menggunakan BI Tools.
Melakukan data cleansing, validasi, dan data profiling secara berkala.
Menyusun laporan visualisasi (grafik/tabel) berdasarkan KPI bisnis.
Membantu dokumentasi metadata dan penyusunan Data Dictionary.
Mencatat alur transformasi data untuk kebutuhan transparansi dan audit.
Mendukung proyek integrasi data melalui proses mapping antar sistem.
Melakukan rekonsiliasi data antara dashboard dan sistem sumber.
Mengidentifikasi dan melaporkan anomali atau inkonsistensi data.
Berkoordinasi dengan Data Engineer dan tim IT terkait kebutuhan data.
Menyusun laporan progres kerja dan mempresentasikannya secara berkala.
Memastikan pengelolaan data sesuai standar Data Governance perusahaan.

Job Requirement
Mahasiswa tingkat akhir atau Fresh Graduate S1 (Sistem Informasi / Teknik Informatika / Data Science atau sejenisnya).
Memahami dasar SQL Query dan konsep database.
Memahami dasar Data Analysis dan Database Design.
Mengetahui konsep ETL dan Entity Relationship Diagram (ERD).
Familiar dengan BI Tools (Power BI / Tableau / sejenisnya).
Memahami konsep data cleansing dan data quality.
Teliti, detail-oriented, dan memiliki kemampuan analisa yang baik.
Mampu bekerja secara sistematis dan komunikatif dalam tim.
Bersedia ditempatkan di Head Office Tangerang.",Rp 1.500.000 – Rp 2.000.000 per month,banten,24d,2026-03-18 01:00:00,2026-02-22 01:00:00,2026-02-22,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1500000 –  2000000,,,
100,Business Analyst - (Paid Intern),PT INVESTASI HIJAU SELARAS,"Kebayoran Baru, Jakarta",Posted 1d ago,"PT Investasi Hijau Selaras
Job Vacancy
Business Analyst Paid-Intern

Job description:
Run customer profiling and due diligence process
Perform financial modeling on potential projects
Assign project based on partner' or company' risk appetite 
Filter projects based on financial ratio and sensitivity analysis 
Provide consideration on the overall project risk and return profile to investment committee
Requirements:
Bachelor degree in Finance Economics Engineering with minimum GPA of 3.40 
Minimum fresh graduate
Strong skills in Administration & Office Support, including document management and office coordination.
Ability in Consulting & Strategy, such as providing recommendations and supporting business planning.
Basic understanding of Legal matters, including legal documentation and compliance.
Have knowledge or experience in renewable energy industry is advantage 
Able to operate Ms. Office, especially Excel, and fluent in English
Good interpersonal skills and eager to learn 
Self driven, and ability to work under pressure in dynamic environment
Laptop is self-provided by the intern

Compensation & Benefits
Employees have the opportunity to become permanent employees after completing a 6-month intern period, based on performance evaluation.
Benefits for Permanent Employees:
Future Salary: Rp. 6.000.000; received as nett salary.
Health insurance through CAR Life
Pension program through DPLK Manulife",Rp 2.000.000 – Rp 2.500.000 per month,jakarta,1d,2026-03-18 01:00:00,2026-03-17 01:00:00,2026-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000 –  2500000,,,
